config,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc,mci_weight,gamma,wd,num_layers
0,0.7166829243652127,0.7058372183372186,0.7336013676851416,0.6997644810452837,0.38961632771290955,0.9185160354537335,0.49837417965861713,0.785979725521707,0.642176952590162,0.7569030133523325,3.5,1.0,0.001,2
1,0.7318428381770825,0.7159317534317535,0.7591850817412041,0.7045005946129607,0.3983095884931304,0.9242627191295717,0.5160168401653245,0.7963260357872447,0.6561714379762846,0.7604114268418428,3.5,1.0,0.001,3
2,0.7245275169965836,0.7239121989121989,0.7276157869982212,0.721439246994946,0.4026666227134867,0.9193545522484549,0.5095516488818878,0.8032464699631013,0.6563990594224945,0.7578450325566697,3.5,1.0,0.0001,2
3,0.7235220972968699,0.7238506863506863,0.7283840201748042,0.7186601744189358,0.4077944309139846,0.9193432789530207,0.5137999446261236,0.8019314368046314,0.6578656907153775,0.7572599517900646,3.5,1.0,0.0001,3
4,0.7203006317012783,0.7344761719761721,0.7015322672277117,0.739068996174845,0.41708731254225045,0.9163818499207456,0.5102694007163899,0.811493715689851,0.6608815582031203,0.7672760096536737,3.5,1.5,0.001,2
5,0.7246378280780815,0.6988960113960113,0.7661220640810922,0.683153592075071,0.3817524235617301,0.9230961326087735,0.5031413467904104,0.7816069844631144,0.6423741656267625,0.7545403901522715,3.5,1.5,0.001,3
6,0.7190373856173002,0.6951599326599326,0.761382299210937,0.6766924720236637,0.3765907966796737,0.9228803498905687,0.4984785190596745,0.7769174620481496,0.637697990553912,0.7570966848723198,3.5,1.5,0.0001,2
7,0.7203136062681905,0.689584952084952,0.7733211338159529,0.667306078720428,0.38322047969242096,0.9268428898010068,0.5023927824809027,0.767882226777948,0.6351375046294254,0.7525054555979747,3.5,1.5,0.0001,3
8,0.7162056959126978,0.6895817145817147,0.7612398369372063,0.6711715548881891,0.3744488586814482,0.9227075277044499,0.49539467469259235,0.7698055977203475,0.6326001362064699,0.7605955099042634,3.5,2.0,0.001,2
9,0.7124398677669258,0.6982841232841234,0.7395326326874214,0.6853471028464302,0.38967866121993283,0.9184725867732524,0.49999629747807733,0.7705837165011328,0.635290006989605,0.7655790230615004,3.5,2.0,0.001,3
10,0.7171666031657108,0.7131831131831133,0.7257305974118915,0.7086026089195305,0.40478386204106837,0.9163158557692448,0.5045985559332608,0.7928405258184956,0.6487195408758784,0.7557759477274252,3.5,2.0,0.0001,2
11,0.7040227270792321,0.6785126910126912,0.7515972812915802,0.656448172866884,0.3757083502424565,0.9219645054885116,0.4862070886549603,0.7547802754032044,0.6204936820290823,0.7556692383059361,3.5,2.0,0.0001,3
