outer_fold,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc
1,0.6547619047619048,0.7559055118110236,0.5,0.8095238095238095,0.3548387096774194,0.8854166666666666,0.41509433962264153,0.845771144278607,0.6304327419506243,0.7917748917748918
2,0.6537254901960785,0.6377952755905512,0.68,0.6274509803921569,0.3090909090909091,0.8888888888888888,0.425,0.735632183908046,0.580316091954023,0.7113725490196079
3,0.7440476190476191,0.7007874015748031,0.8214285714285714,0.6666666666666666,0.4107142857142857,0.9295774647887324,0.5476190476190477,0.7764705882352941,0.662044817927171,0.8578643578643579
4,0.5960760517799353,0.6299212598425197,0.5416666666666666,0.6504854368932039,0.2653061224489796,0.8589743589743589,0.3561643835616438,0.7403314917127072,0.5482479376371755,0.6905339805825242
5,0.7088888888888889,0.6692913385826772,0.7777777777777778,0.64,0.3684210526315789,0.9142857142857143,0.5,0.7529411764705882,0.6264705882352941,0.76
avg,0.6714999909348853,0.6787401574803149,0.6641746031746032,0.6788253786951675,0.3416742159126346,0.8954286187208723,0.4487755541606666,0.7702293169210485,0.6095024355408576,0.7623091558482764
