outer_fold,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc
1,0.6906926406926407,0.7559055118110236,0.5909090909090909,0.7904761904761904,0.37142857142857144,0.9021739130434783,0.45614035087719296,0.8426395939086294,0.6493899723929112,0.7259740259740259
2,0.6288235294117648,0.6220472440944882,0.64,0.6176470588235294,0.2909090909090909,0.875,0.4,0.7241379310344828,0.5620689655172414,0.7019607843137255
3,0.7693001443001443,0.7401574803149606,0.8214285714285714,0.7171717171717171,0.45098039215686275,0.9342105263157895,0.5822784810126582,0.8114285714285714,0.6968535262206148,0.8578643578643579
4,0.6057847896440129,0.6456692913385826,0.5416666666666666,0.6699029126213593,0.2765957446808511,0.8625,0.36619718309859156,0.7540983606557377,0.5601477718771646,0.6686893203883495
5,0.6918518518518519,0.6850393700787402,0.7037037037037037,0.68,0.37254901960784315,0.8947368421052632,0.48717948717948717,0.7727272727272727,0.62995337995338,0.787037037037037
avg,0.6772905911800828,0.689763779527559,0.6595416065416065,0.6950395758185592,0.3524925637566439,0.8937242562929061,0.45835910043358596,0.7810063459509389,0.6196827231922624,0.7483051051154993
