config,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc,mci_weight,gamma,lr,K,wd
32,0.6407932866097219,0.5266835016835016,0.828102388928769,0.45348418429067505,0.29745727946506584,0.8646713180551887,0.4245193933648129,0.5536833566100068,0.4891013749874098,0.7017790953748904,4.2,1.4,0.001,2,0.0005
33,0.6435577336634414,0.574549987049987,0.7569637917367468,0.5301516755901359,0.30139771600437165,0.9039354253060413,0.41270253483980196,0.6307461658052188,0.5217243503225105,0.7033478219000869,4.2,1.4,0.001,2,0.001
34,0.6516647169529239,0.582018907018907,0.7643577018243196,0.5389717320815282,0.31751824100760395,0.9094071476272549,0.4308772987512237,0.6368394970154885,0.5338583978833562,0.7110293690802677,4.2,1.4,0.001,3,0.0005
35,0.6364218698086949,0.49505957005957,0.8675836830667196,0.4052600565506701,0.2812648214994315,0.7995711132651333,0.4152109223371006,0.5224243047159375,0.468817613526519,0.7105254046909162,4.2,1.4,0.001,3,0.001
36,0.7135710136324706,0.6755762755762755,0.7745793464610337,0.6525626808039071,0.3600613971927597,0.9221821213255923,0.4858468931382541,0.760531690793364,0.623189291965809,0.7459572471410482,4.2,1.4,0.003,2,0.0005
37,0.7011800713836174,0.6598646723646724,0.7684804709216789,0.6338796718455553,0.3488072420690707,0.9193237306049854,0.4741324145444406,0.7439439167971519,0.6090381656707964,0.7330521745691512,4.2,1.4,0.003,2,0.001
38,0.7200218668393592,0.6941886816886816,0.7568446782485304,0.683199055430188,0.3895696069230303,0.9213275850038349,0.49563292695587063,0.7768989015175634,0.6362659142367171,0.7446717093563453,4.2,1.4,0.003,3,0.0005
39,0.707057686718039,0.6663688163688163,0.7713135322688802,0.642801841167198,0.3572958045880136,0.9191223894259785,0.48090736062341916,0.7482212657688311,0.614564313196125,0.7485860424071646,4.2,1.4,0.003,3,0.001
40,0.6575039189280832,0.5597448847448848,0.8141615272654877,0.5008463105906791,0.30561010999765054,0.9208899880767767,0.43328595376460805,0.6221819252584402,0.527733939511524,0.7158288588351519,4.2,1.8,0.001,2,0.0005
41,0.6585281858786467,0.5866388241388242,0.7759183731850908,0.5411379985722025,0.3077233660452258,0.9112537792540939,0.43127839254482875,0.6604602725950932,0.545869332569961,0.7144069781579033,4.2,1.8,0.001,2,0.001
42,0.647402948552759,0.5170778295778296,0.86129577227533,0.4335101248301882,0.29191787094286153,0.9277303529549624,0.42559239131676585,0.5535531503459514,0.48957277083135864,0.7052971018824612,4.2,1.8,0.001,3,0.0005
43,0.6635417454416576,0.5666731416731418,0.8191068240919595,0.5079766667913553,0.3057624094338849,0.9199522197555393,0.4320111505333709,0.6408164805860603,0.5364138155597156,0.7119495379300884,4.2,1.8,0.001,3,0.001
44,0.6845290088604762,0.6233262108262108,0.7803844196341686,0.5886735980867838,0.3367904281225247,0.9160583024930086,0.46018512825389746,0.6947440638607827,0.57746459605734,0.7295280430851053,4.2,1.8,0.003,2,0.0005
45,0.6870279350360428,0.6112503237503238,0.808626167529164,0.565429702542922,0.3269698912817585,0.9279864159148438,0.4581492207775513,0.6827150681325744,0.5704321444550629,0.7346420024072913,4.2,1.8,0.003,2,0.001
46,0.6844796013505577,0.628910903910904,0.7759989596240542,0.5929602430770614,0.33108276104726336,0.922335833631277,0.45659689930435016,0.7015302877798443,0.5790635935420972,0.7321694244887814,4.2,1.8,0.003,3,0.0005
47,0.6992475134344627,0.6562257187257187,0.7653953021430762,0.633099724725849,0.3569786133512825,0.9206667484794877,0.4701926764476684,0.739790096724477,0.6049913865860728,0.7332124701920862,4.2,1.8,0.003,3,0.001
