outer_fold,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc
1,0.6320346320346321,0.7480314960629921,0.45454545454545453,0.8095238095238095,0.3333333333333333,0.8762886597938144,0.38461538461538464,0.8415841584158416,0.6130997715156131,0.7627705627705628
2,0.6517647058823529,0.7559055118110236,0.48,0.8235294117647058,0.4,0.865979381443299,0.43636363636363634,0.8442211055276382,0.6402923709456373,0.6419607843137255
3,0.6636002886002886,0.5354330708661418,0.8928571428571429,0.43434343434343436,0.30864197530864196,0.9347826086956522,0.45871559633027525,0.593103448275862,0.5259095223030686,0.8243145743145742
4,0.5863673139158576,0.6141732283464567,0.5416666666666666,0.6310679611650486,0.2549019607843137,0.8552631578947368,0.3466666666666667,0.7262569832402235,0.5364618249534451,0.6779935275080906
5,0.7268518518518519,0.7401574803149606,0.7037037037037037,0.75,0.4318181818181818,0.9036144578313253,0.5352112676056338,0.819672131147541,0.6774416993765874,0.7892592592592592
avg,0.6521237584569967,0.6787401574803149,0.6145545935545935,0.6896929233593997,0.3457390902488942,0.8871856531317656,0.4323145103163194,0.7649675653214213,0.5986410378188702,0.7392597416332426
