outer_fold,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc
1,0.6748917748917749,0.8188976377952756,0.45454545454545453,0.8952380952380953,0.47619047619047616,0.8867924528301887,0.46511627906976744,0.8909952606635071,0.6780557698666373,0.7995670995670995
2,0.678235294117647,0.6771653543307087,0.68,0.6764705882352942,0.34,0.8961038961038961,0.4533333333333333,0.770949720670391,0.6121415270018622,0.7635294117647059
3,0.7231240981240981,0.7480314960629921,0.6785714285714286,0.7676767676767676,0.4523809523809524,0.8941176470588236,0.5428571428571428,0.8260869565217391,0.684472049689441,0.8156565656565656
4,0.6203478964401294,0.6692913385826772,0.5416666666666666,0.6990291262135923,0.29545454545454547,0.8674698795180723,0.38235294117647056,0.7741935483870968,0.5782732447817837,0.7030744336569579
5,0.6783333333333332,0.6850393700787402,0.6666666666666666,0.69,0.3673469387755102,0.8846153846153846,0.47368421052631576,0.7752808988764045,0.6244825547013602,0.7511111111111112
avg,0.6749864793813966,0.7196850393700788,0.6042900432900432,0.7456829154727499,0.3862745825602968,0.8858198520252731,0.46346878139260606,0.8075012770238278,0.6354850292082169,0.766587724351288
