outer_fold,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc
1,0.6976190476190476,0.8267716535433071,0.5,0.8952380952380953,0.5,0.8952380952380953,0.5,0.8952380952380953,0.6976190476190476,0.7597402597402597
2,0.6566666666666667,0.7637795275590551,0.48,0.8333333333333334,0.41379310344827586,0.8673469387755102,0.4444444444444444,0.85,0.6472222222222221,0.7247058823529412
3,0.7693001443001443,0.7401574803149606,0.8214285714285714,0.7171717171717171,0.45098039215686275,0.9342105263157895,0.5822784810126582,0.8114285714285714,0.6968535262206148,0.8376623376623377
4,0.6737459546925566,0.7559055118110236,0.5416666666666666,0.8058252427184466,0.3939393939393939,0.8829787234042553,0.45614035087719296,0.8426395939086294,0.6493899723929112,0.7289644012944985
5,0.6848148148148148,0.7165354330708661,0.6296296296296297,0.74,0.3953488372093023,0.8809523809523809,0.4857142857142857,0.8043478260869565,0.6450310559006212,0.7681481481481481
avg,0.696429325618646,0.7606299212598425,0.5945449735449736,0.7983136776923185,0.4308123453507669,0.8921453329372062,0.49371551240971623,0.8407308173324506,0.6672231648710835,0.763844205839637
