config,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc,mci_weight,gamma,lr,wd
0,0.5948819433663353,0.6902551152551152,0.4378691132350736,0.7518947734975969,0.4422998917993758,0.7610651469678212,0.42491191711587795,0.7547976554917339,0.5898547863038061,0.6389748455596668,1.25,0.5,0.001,0.0005
1,0.5505573297686583,0.6389989639989638,0.40291390575174674,0.6982007537855701,0.39939456965443354,0.7021601281386751,0.3916556028545346,0.6992388097893213,0.5454472063219279,0.5875054903190282,1.25,0.5,0.001,0.001
2,0.4753878429180299,0.5232161357161358,0.39907044938202996,0.5517052364540298,0.32403749768370954,0.5960076005987957,0.35199287919109884,0.5717786311231554,0.4618857551571271,0.5011716996832097,1.25,0.5,0.003,0.0005
3,0.5478685355057722,0.6200110075110075,0.4259611583137865,0.6697759126977577,0.37797705246365065,0.7003800340598157,0.3905555861255736,0.6833993311146718,0.5369774586201227,0.5787324380816262,1.25,0.5,0.003,0.001
4,0.6327821888294783,0.7263047138047138,0.4795717346467398,0.7859926430122169,0.4422926839295024,0.8187855348993563,0.44376024058474545,0.7990074946351972,0.6213838676099713,0.6825808917042392,1.25,0.75,0.001,0.0005
5,0.6824874676306474,0.7911357161357162,0.5011117255496773,0.8638632097116173,0.48203379661274404,0.8745114120408726,0.4840844129554005,0.8683570421317874,0.6762207275435939,0.7264379950088471,1.25,0.75,0.001,0.001
6,0.6984037932317965,0.785146335146335,0.5543315249466348,0.8424760615169584,0.485870552416608,0.8843211799646201,0.5061664670024606,0.8612659541691949,0.6837162105858278,0.7470930012956154,1.25,0.75,0.003,0.0005
7,0.607640730918961,0.6712639212639213,0.5022925699938049,0.7129888918441171,0.40341602067820476,0.7709131138691775,0.43506424471690736,0.7376713036051779,0.5863677741610425,0.6533090822058601,1.25,0.75,0.003,0.001
8,0.6899100437863475,0.7837606837606839,0.5339083703967487,0.8459117171759462,0.4739970629952953,0.8798514603657867,0.49320217515789155,0.8615769258747074,0.6773895505162993,0.7271905230523227,1.25,1.0,0.001,0.0005
9,0.6914794921885163,0.7874255374255376,0.5319056144490486,0.8510533699279839,0.49511523624179193,0.8808637141066259,0.49461381490998374,0.8637066582798675,0.6791602365949257,0.7359157174288401,1.25,1.0,0.001,0.001
10,0.7066511489025488,0.7535191660191659,0.6287048767925597,0.784597421012538,0.431319723492957,0.8973676001257528,0.5017505527369972,0.833354151225866,0.6675523519814316,0.7392283090733272,1.25,1.0,0.003,0.0005
11,0.7019981364620435,0.761483423983424,0.6020197983599583,0.8019764745641288,0.4584236870377438,0.8948141002822934,0.49985536802375996,0.8387528560610998,0.6693041120424298,0.7475133427588145,1.25,1.0,0.003,0.001
12,0.6973595235178223,0.780532893032893,0.5604735471457898,0.8342454998898549,0.46891586779657285,0.8854085491568042,0.5037841373667982,0.8575491627146551,0.6806666500407267,0.7342591517950544,1.5,0.5,0.001,0.0005
13,0.6844246665251197,0.7759518259518258,0.5329088740625667,0.8359404589876729,0.47265096250576544,0.8789810914622064,0.4858606062030189,0.8542865367843088,0.6700735714936639,0.7231454567944481,1.5,0.5,0.001,0.001
14,0.664907996118918,0.7170907795907795,0.5783311294940491,0.7514848627437869,0.42654902831259367,0.8381460039563174,0.47529865387247044,0.789955248709811,0.6326269512911407,0.6952723902731386,1.5,0.5,0.003,0.0005
15,0.6132079911598628,0.6539918414918414,0.5485466053351751,0.6778693769845507,0.39651720886449626,0.7800429595636101,0.44350170703673547,0.7190661317213337,0.5812839193790347,0.6530990528494747,1.5,0.5,0.003,0.001
16,0.711738305520251,0.7786842786842786,0.6017211140457868,0.8217554969947155,0.4607028187630481,0.8932632429180825,0.517673924251545,0.8550676288335737,0.6863707765425592,0.7460995812326121,1.5,0.75,0.001,0.0005
17,0.6960589895821985,0.7652227402227401,0.5814834249403303,0.8106345542240665,0.44456843026751786,0.88741031940113,0.4951359511105621,0.8450703882251941,0.670103169667878,0.741591410795549,1.5,0.75,0.001,0.001
18,0.5648864470454146,0.6153133903133904,0.4810316667721173,0.6487412273187121,0.3613223054069736,0.7146285143228253,0.4013838802405315,0.6784398100399927,0.539911845140262,0.6100902556172169,1.5,0.75,0.003,0.0005
19,0.6066673676208222,0.6642191142191141,0.5120747296431372,0.7012600055985075,0.3915658069222721,0.7727610285895624,0.4301360961548545,0.7325306662305964,0.5813333811927255,0.6433407854493386,1.5,0.75,0.003,0.001
20,0.7023223336861371,0.7712250712250712,0.5892038711915301,0.8154407961807439,0.44732985114196205,0.8901882006692002,0.5016847036470113,0.8499456622934437,0.6758151829702276,0.7317915459128267,1.5,1.0,0.001,0.0005
21,0.6919930050569132,0.7828768453768454,0.5417431417487177,0.8422428683651086,0.4656294029125499,0.8816152648816491,0.4942783620894467,0.8605752989835835,0.6774268305365151,0.7400081730604123,1.5,1.0,0.001,0.001
22,0.7111288673999407,0.7577926702926703,0.6335483151202994,0.7887094196795821,0.446726517331897,0.8975393370823441,0.5100443875443175,0.8370342991818874,0.6735393433631025,0.7454980277585145,1.5,1.0,0.003,0.0005
23,0.7152404645075191,0.7434278684278685,0.6686670545126325,0.7618138745024056,0.42901966371345907,0.9037326867968727,0.5128602882436315,0.8223128133642839,0.6675865508039577,0.7524320722713529,1.5,1.0,0.003,0.001
24,0.7111596730399126,0.7791925666925666,0.5965509304543013,0.825768415625524,0.48152781806623585,0.892682163841074,0.5171214362143731,0.8551617589218179,0.6861415975680956,0.7512515845274481,1.75,0.5,0.001,0.0005
25,0.6452175372501454,0.7296620046620047,0.5046092468569275,0.7858258276433633,0.45171050260537116,0.8221386941177762,0.45903605668233444,0.8018651409619185,0.6304505988221265,0.6807000257077942,1.75,0.5,0.001,0.001
26,0.6209401419358489,0.6522630147630147,0.5698398941600301,0.6720403897116678,0.3798599624750967,0.7815136712455613,0.45019292536179145,0.7197167628512108,0.5849548441065011,0.6536822252922622,1.75,0.5,0.003,0.0005
27,0.5312160441058192,0.5551152551152552,0.49279894311052364,0.5696331451011147,0.32447513998417593,0.6636565347884925,0.38693961438198854,0.6112655170606042,0.4991025657212964,0.5589846169556801,1.75,0.5,0.003,0.001
28,0.7002203776919252,0.7679778554778555,0.5864820030326839,0.8139587523511664,0.44753303544401946,0.888856169671776,0.4975135430601924,0.8479224453643013,0.672717994212247,0.7361442558918952,1.75,0.75,0.001,0.0005
